"","County","City","AQI_Weekly_Measurement","week","month","year"
"1","Philadelphia","Philadelphia",7.0555333998006,1,1,2021
"2","Philadelphia","Philadelphia",16.814328358209,2,1,2021
"3","Philadelphia","Philadelphia",10.1575247524752,3,1,2021
"4","Philadelphia","Philadelphia",6.92050505050505,4,1,2021
"5","Philadelphia","Philadelphia",6.03633257403189,5,1,2021
"6","Philadelphia","Philadelphia",13.1143706640238,6,2,2021
"7","Philadelphia","Philadelphia",9.49158415841584,7,2,2021
"8","Philadelphia","Philadelphia",12.8084915084915,8,2,2021
"9","Philadelphia","Philadelphia",8.81476709613479,9,2,2021
"10","Philadelphia","Philadelphia",11.753869047619,10,3,2021
"11","Philadelphia","Philadelphia",7.19489274770174,11,3,2021
"12","Philadelphia","Philadelphia",6.02147117296223,13,4,2021
"13","Philadelphia","Philadelphia",6.99613478691774,14,4,2021
"14","Philadelphia","Philadelphia",7.14110552763819,15,4,2021
"15","Philadelphia","Philadelphia",6.43214638971316,16,4,2021
"16","Philadelphia","Philadelphia",11.7074701195219,17,4,2021
"17","Philadelphia","Philadelphia",7.22405940594059,18,5,2021
"18","Philadelphia","Philadelphia",4.76940594059406,19,5,2021
"19","Philadelphia","Philadelphia",9.03463855421687,20,5,2021
"20","Philadelphia","Philadelphia",9.7193260654113,21,5,2021
"21","Philadelphia","Philadelphia",5.58673267326733,22,5,2021
"22","Philadelphia","Philadelphia",10.6773359840954,23,6,2021
"23","Philadelphia","Philadelphia",7.29320679320679,24,6,2021
"24","Philadelphia","Philadelphia",8.72581926514399,25,6,2021
"25","Philadelphia","Philadelphia",7.94089108910891,26,6,2021
"26","Philadelphia","Philadelphia",14.0168818272095,27,7,2021
"27","Philadelphia","Philadelphia",9.91294820717131,28,7,2021
"28","Philadelphia","Philadelphia",23.1769596199525,29,7,2021
"29","Philadelphia","Philadelphia",18.6104215456674,30,7,2021
"30","Philadelphia","Philadelphia",9.85312190287413,31,7,2021
"31","Philadelphia","Philadelphia",11.1130869130869,32,8,2021
"32","Philadelphia","Philadelphia",7.63187250996016,33,8,2021
"33","Philadelphia","Philadelphia",11.1192384769539,34,8,2021
"34","Philadelphia","Philadelphia",10.7366799204771,35,8,2021
"35","Philadelphia","Philadelphia",8.00728542914172,36,9,2021
"36","Philadelphia","Philadelphia",12.2723744292237,37,9,2021
"37","Philadelphia","Philadelphia",7.88628628628629,38,9,2021
"38","Philadelphia","Philadelphia",7.11478174603175,39,9,2021
"39","Philadelphia","Philadelphia",9.57705410821643,12,3,2021
"40","Philadelphia","Philadelphia",9.12906976744186,1,1,2020
"41","Philadelphia","Philadelphia",6.938,2,1,2020
"42","Philadelphia","Philadelphia",6.5463144963145,3,1,2020
"43","Philadelphia","Philadelphia",10.7701923076923,4,1,2020
"44","Philadelphia","Philadelphia",10.4572629051621,5,1,2020
"45","Philadelphia","Philadelphia",7.12154031287605,6,2,2020
"46","Philadelphia","Philadelphia",8.46489493201483,7,2,2020
"47","Philadelphia","Philadelphia",8.72235722964763,8,2,2020
"48","Philadelphia","Philadelphia",7.25428921568627,9,2,2020
"49","Philadelphia","Philadelphia",6.75772058823529,10,3,2020
"50","Philadelphia","Philadelphia",5.8681195516812,11,3,2020
"51","Philadelphia","Philadelphia",5.93404791929382,12,3,2020
"52","Philadelphia","Philadelphia",6.23107088989442,13,3,2020
"53","Philadelphia","Philadelphia",5.31456456456456,14,4,2020
"54","Philadelphia","Philadelphia",6.60971357409714,15,4,2020
"55","Philadelphia","Philadelphia",7.57746144721234,16,4,2020
"56","Philadelphia","Philadelphia",5.06748704663212,17,4,2020
"57","Philadelphia","Philadelphia",5.94095238095238,18,4,2020
"58","Philadelphia","Philadelphia",4.64557416267943,19,5,2020
"59","Philadelphia","Philadelphia",7.24445768772348,20,5,2020
"60","Philadelphia","Philadelphia",6.75361803084223,21,5,2020
"61","Philadelphia","Philadelphia",5.44126074498567,22,5,2020
"62","Philadelphia","Philadelphia",8.13188220230474,23,6,2020
"63","Philadelphia","Philadelphia",6.42636579572447,24,6,2020
"64","Philadelphia","Philadelphia",6.96708542713568,25,6,2020
"65","Philadelphia","Philadelphia",7.81723716381418,26,6,2020
"66","Philadelphia","Philadelphia",11.4560747663551,27,7,2020
"67","Philadelphia","Philadelphia",6.94213197969543,28,7,2020
"68","Philadelphia","Philadelphia",8.39538188277087,29,7,2020
"69","Philadelphia","Philadelphia",8.59801587301587,30,7,2020
"70","Philadelphia","Philadelphia",8.10418760469012,31,7,2020
"71","Philadelphia","Philadelphia",9.35361155698234,32,8,2020
"72","Philadelphia","Philadelphia",9.5323275862069,33,8,2020
"73","Philadelphia","Philadelphia",8.14725111441308,34,8,2020
"74","Philadelphia","Philadelphia",6.13127889060092,35,8,2020
"75","Philadelphia","Philadelphia",6.45256916996047,36,9,2020
"76","Philadelphia","Philadelphia",5.72638888888889,37,9,2020
"77","Philadelphia","Philadelphia",5.50561983471074,38,9,2020
"78","Philadelphia","Philadelphia",9.33916913946588,39,9,2020
"79","Philadelphia","Philadelphia",6.86264880952381,40,10,2020
"80","Philadelphia","Philadelphia",6.46344725111441,41,10,2020
"81","Philadelphia","Philadelphia",8.03179723502304,42,10,2020
"82","Philadelphia","Philadelphia",6.68592375366569,43,10,2020
"83","Philadelphia","Philadelphia",6.31336270190896,44,10,2020
"84","Philadelphia","Philadelphia",17.4257016248154,45,11,2020
"85","Philadelphia","Philadelphia",7.65575757575758,46,11,2020
"86","Philadelphia","Philadelphia",8.3568281938326,47,11,2020
"87","Philadelphia","Philadelphia",8.39941089837997,48,11,2020
"88","Philadelphia","Philadelphia",6.99881093935791,49,12,2020
"89","Philadelphia","Philadelphia",13.7969549330085,50,12,2020
"90","Philadelphia","Philadelphia",13.385,51,12,2020
"91","Philadelphia","Philadelphia",8.70793489318413,52,12,2020
"92","Philadelphia","Philadelphia",8.02152777777778,53,12,2020
"93","Philadelphia","Philadelphia",6.76766826923077,1,1,2019
"94","Philadelphia","Philadelphia",6.76248477466504,2,1,2019
"95","Philadelphia","Philadelphia",11.8868891537545,3,1,2019
"96","Philadelphia","Philadelphia",6.92631578947368,4,1,2019
"97","Philadelphia","Philadelphia",19.0872093023256,5,1,2019
"98","Philadelphia","Philadelphia",9.84920424403183,6,2,2019
"99","Philadelphia","Philadelphia",5.65175438596491,7,2,2019
"100","Philadelphia","Philadelphia",7.03863912515188,8,2,2019
"101","Philadelphia","Philadelphia",8.33771289537713,9,3,2019
"102","Philadelphia","Philadelphia",12.4196662693683,10,3,2019
"103","Philadelphia","Philadelphia",5.59988052568698,11,3,2019
"104","Philadelphia","Philadelphia",5.92256097560976,12,3,2019
"105","Philadelphia","Philadelphia",5.73296836982968,13,3,2019
"106","Philadelphia","Philadelphia",7.49269461077844,14,4,2019
"107","Philadelphia","Philadelphia",5.53447737909516,15,4,2019
"108","Philadelphia","Philadelphia",5.0215034965035,16,4,2019
"109","Philadelphia","Philadelphia",4.69708454810496,17,4,2019
"110","Philadelphia","Philadelphia",7.29442896935933,18,4,2019
"111","Philadelphia","Philadelphia",5.44157575757576,19,5,2019
"112","Philadelphia","Philadelphia",8.81532846715328,20,5,2019
"113","Philadelphia","Philadelphia",4.93481781376518,21,5,2019
"114","Philadelphia","Philadelphia",9.98077858880779,22,5,2019
"115","Philadelphia","Philadelphia",8.5089552238806,23,6,2019
"116","Philadelphia","Philadelphia",6.49829476248477,24,6,2019
"117","Philadelphia","Philadelphia",6.034401972873,25,6,2019
"118","Philadelphia","Philadelphia",8.55431034482759,26,6,2019
"119","Philadelphia","Philadelphia",10.0415716096324,27,7,2019
"120","Philadelphia","Philadelphia",8.78998505231689,28,7,2019
"121","Philadelphia","Philadelphia",12.2073863636364,29,7,2019
"122","Philadelphia","Philadelphia",10.6741935483871,30,7,2019
"123","Philadelphia","Philadelphia",11.3183673469388,31,8,2019
"124","Philadelphia","Philadelphia",9.1546780072904,32,8,2019
"125","Philadelphia","Philadelphia",12.0738295318127,33,8,2019
"126","Philadelphia","Philadelphia",7.5664656212304,34,8,2019
"127","Philadelphia","Philadelphia",7.03872901678657,35,8,2019
"128","Philadelphia","Philadelphia",7.21817087845969,36,9,2019
"129","Philadelphia","Philadelphia",7.36393244873341,37,9,2019
"130","Philadelphia","Philadelphia",9.00782268578879,38,9,2019
"131","Philadelphia","Philadelphia",6.83394018205462,39,9,2019
"132","Philadelphia","Philadelphia",5.2036717062635,40,10,2019
"133","Philadelphia","Philadelphia",4.74361233480176,41,10,2019
"134","Philadelphia","Philadelphia",6.7834386852086,42,10,2019
"135","Philadelphia","Philadelphia",6.29374247894104,43,10,2019
"136","Philadelphia","Philadelphia",6.27694145758662,44,10,2019
"137","Philadelphia","Philadelphia",9.93606356968215,45,11,2019
"138","Philadelphia","Philadelphia",7.73889570552147,46,11,2019
"139","Philadelphia","Philadelphia",10.498789346247,47,11,2019
"140","Philadelphia","Philadelphia",7.77493975903614,48,11,2019
"141","Philadelphia","Philadelphia",7.24593908629442,49,12,2019
"142","Philadelphia","Philadelphia",8.11309987029831,50,12,2019
"143","Philadelphia","Philadelphia",14.5496598639456,51,12,2019
"144","Philadelphia","Philadelphia",16.0072340425532,52,12,2019
"145","Philadelphia","Philadelphia",6.26470588235294,53,12,2019
"146","Philadelphia","Philadelphia",9.60100502512563,1,1,2018
"147","Philadelphia","Philadelphia",12.5432291666667,2,1,2018
"148","Philadelphia","Philadelphia",15.3846245530393,3,1,2018
"149","Philadelphia","Philadelphia",9.70029411764706,4,1,2018
"150","Philadelphia","Philadelphia",9.24642375168691,5,2,2018
"151","Philadelphia","Philadelphia",13.0464935064935,6,2,2018
"152","Philadelphia","Philadelphia",9.37843373493976,7,2,2018
"153","Philadelphia","Philadelphia",9.09621301775148,8,2,2018
"154","Philadelphia","Philadelphia",7.8215710723192,9,2,2018
"155","Philadelphia","Philadelphia",5.75664596273292,10,3,2018
"156","Philadelphia","Philadelphia",7.08022388059702,11,3,2018
"157","Philadelphia","Philadelphia",6.06698911729141,12,3,2018
"158","Philadelphia","Philadelphia",9.08393719806763,13,3,2018
"159","Philadelphia","Philadelphia",7.05289672544081,14,4,2018
"160","Philadelphia","Philadelphia",11.3785294117647,15,4,2018
"161","Philadelphia","Philadelphia",5.68044444444444,16,4,2018
"162","Philadelphia","Philadelphia",7.41445623342175,17,4,2018
"163","Philadelphia","Philadelphia",9.67832929782082,18,5,2018
"164","Philadelphia","Philadelphia",8.62064276885043,19,5,2018
"165","Philadelphia","Philadelphia",8.04915458937198,20,5,2018
"166","Philadelphia","Philadelphia",9.78811096433289,21,5,2018
"167","Philadelphia","Philadelphia",8.49576271186441,22,5,2018
"168","Philadelphia","Philadelphia",8.68434108527132,23,6,2018
"169","Philadelphia","Philadelphia",9.1036641221374,24,6,2018
"170","Philadelphia","Philadelphia",10.930859375,25,6,2018
"171","Philadelphia","Philadelphia",9.71829268292683,26,6,2018
"172","Philadelphia","Philadelphia",10.6680981595092,27,7,2018
"173","Philadelphia","Philadelphia",10.4045180722892,28,7,2018
"174","Philadelphia","Philadelphia",7.98547297297297,29,7,2018
"175","Philadelphia","Philadelphia",7.02633928571429,30,7,2018
"176","Philadelphia","Philadelphia",7.69083215796897,31,7,2018
"177","Philadelphia","Philadelphia",12.0157441574416,32,8,2018
"178","Philadelphia","Philadelphia",11.8599260172626,33,8,2018
"179","Philadelphia","Philadelphia",9.34396984924623,34,8,2018
"180","Philadelphia","Philadelphia",12.2793710691824,35,8,2018
"181","Philadelphia","Philadelphia",8.83475,36,9,2018
"182","Philadelphia","Philadelphia",5.11444141689373,37,9,2018
"183","Philadelphia","Philadelphia",6.23894039735099,38,9,2018
"184","Philadelphia","Philadelphia",7.33132530120482,39,9,2018
"185","Philadelphia","Philadelphia",10.0572530864198,40,10,2018
"186","Philadelphia","Philadelphia",7.08208516886931,41,10,2018
"187","Philadelphia","Philadelphia",6.79654135338346,42,10,2018
"188","Philadelphia","Philadelphia",5.35226939970717,43,10,2018
"189","Philadelphia","Philadelphia",7.04797619047619,44,10,2018
"190","Philadelphia","Philadelphia",5.75799031476998,45,11,2018
"191","Philadelphia","Philadelphia",8.52291666666667,46,11,2018
"192","Philadelphia","Philadelphia",12.0148058252427,47,11,2018
"193","Philadelphia","Philadelphia",8.19683313032887,48,11,2018
"194","Philadelphia","Philadelphia",8.51161676646707,49,12,2018
"195","Philadelphia","Philadelphia",13.0692491060787,50,12,2018
"196","Philadelphia","Philadelphia",8.40036231884058,51,12,2018
"197","Philadelphia","Philadelphia",9.91190476190476,52,12,2018
"198","Philadelphia","Philadelphia",10.4130081300813,53,12,2018
